assembly_name	ena_accession	fasta_url	fastq_url
ARA01-015	GCA_900707335	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707335?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3417508/ERR3417508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3417508/ERR3417508_2.fastq.gz""]"
ARA01-018			
ARA01-020			
ARA01-021			
ARA01-022			
ARA01-023			
ARA01-024			
ARA01-027			
ARA01-028			
ARA01-030			
ARA01-031			
ARA01-033			
ARA01-034			
ARA01-036			
ARA01-037	GCA_900707215	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707215?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418558/ERR3418558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/008/ERR3418558/ERR3418558_2.fastq.gz""]"
ARA01-038			
ARA01-040			
ARA01-041			
ARA01-044			
ARA01-045	GCA_900707235	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707235?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418559/ERR3418559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3418559/ERR3418559_2.fastq.gz""]"
ARA01-046			
ARA01-049	GCA_900707345	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707345?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418572/ERR3418572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/002/ERR3418572/ERR3418572_2.fastq.gz""]"
ARA01-050			
ARA02-001			
ARA02-002			
ARA02-005			
ARA02-006			
ARA02-007			
ARA02-008			
ARA02-009	GCA_900707245	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707245?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3417509/ERR3417509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/009/ERR3417509/ERR3417509_2.fastq.gz""]"
ARA02-010			
ARA02-011			
ARA02-013			
ARA02-014			
ARA02-015	GCA_900707255	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707255?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418573/ERR3418573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/003/ERR3418573/ERR3418573_2.fastq.gz""]"
ARA02-016			
ARA02-017	GCA_900707375	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707375?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3417510/ERR3417510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/000/ERR3417510/ERR3417510_2.fastq.gz""]"
ARA02-018			
ARA02-019			
ARA02-021			
ARA02-022			
ARA02-023			
ARA02-024			
ARA02-029	GCA_900707275	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707275?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418574/ERR3418574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/004/ERR3418574/ERR3418574_2.fastq.gz""]"
ARA02-033			
ARA02-034			
ARA02-035			
ARA02-036			
ARA02-037			
ARA02-038			
ARA02-039			
ARA02-040	GCA_900707265	https://www.ebi.ac.uk/ena/browser/api/fasta/GCA_900707265?download=true	"[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418575/ERR3418575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR341/005/ERR3418575/ERR3418575_2.fastq.gz""]"
ARA02-041			
ARA03-001			
ARA03-002			
ARA03-003			
